Timestamp,AccX,AccY,AccZ
761483228,663,-633,14292
761485128,-3917,-356,18406
761487032,640,1064,16179
761488916,473,957,16996
761490792,931,517,16776
761492696,1218,308,15143
761494600,2238,1518,18436
761496512,1457,2305,18172
761498412,3520,836,14564
761500316,1143,-2325,16392
761502240,-1754,-3472,13296
761504168,-4509,-3068,18212
761506096,-1777,-1459,16498
761508020,1186,-762,17215
761509920,2924,986,16108
761511808,2033,791,19635
761513692,-211,327,17584
761515580,99,1049,17260
761517472,4087,895,15788
761519380,5819,1649,15111
761521284,220,-1232,14390
761523184,-633,-2994,16827
761525104,-3387,-3935,14571
761527032,-1695,-2321,18080
761528948,-3126,472,13899
761530844,501,1282,20870
761532752,-2035,2373,18480
761534676,1765,2141,16304
761536584,1749,1453,16772
761538496,3292,1402,15199
761540384,-807,936,20092
761542292,1342,1158,15684
761544204,2476,-1236,15587
761546116,1364,-3312,8812
761548040,-3196,-3750,17458
761549968,-3067,-1287,17711
761551864,1104,-24,17068
761553760,407,1715,12691
761555664,1560,2056,15564
761557564,-286,1692,20637
761559464,-1735,299,18604
761561352,283,117,20364
761563244,3730,636,14059
761565124,572,-650,17427
761567032,2319,-1986,13859
761568940,-942,-3376,14727
761570856,-432,-2830,16181
761572776,-2496,-1008,14645
761574704,1027,1063,17004
761576612,390,2530,18112
761578516,2062,2308,15120
761580412,253,1733,21852
761582308,3992,972,13683
761584204,1471,-370,17223
761586108,106,-1325,15536
761588020,-1011,-2079,15756
761589940,-731,-1685,14244
761591860,2053,-1809,13312
761593764,-1378,-964,14884
761595672,-2850,148,16627
761597564,-243,801,16340
761599468,2701,2093,10584
761601372,171,1907,16259
761603276,1620,1134,14359
761605180,-1425,-659,20576
761607088,495,-1617,15308
761609000,1989,-2729,13444
761610916,2109,-1737,15291
761612840,-1936,-2228,19365
761614760,-685,-1357,13251
761616684,-1562,-1156,18516
761618600,1777,141,16752
761620496,-1188,693,18324
761622392,-127,1845,21351
761624296,367,2217,15692
761626200,4464,1702,17484
761628100,2095,-417,15779
761630000,-730,-1910,14497
761631928,-1145,-3355,15028
761633856,-2569,-1871,15943
761635772,2497,-151,13360
761637660,114,732,16868
761639556,532,1060,14579
761641452,-3766,716,18072
761643348,442,1028,17304
761645260,-2347,1753,19875
761647180,2538,1876,14360
761649072,-690,220,19656
761650976,1901,-1271,16031
761652892,-274,-3426,16431
761654804,473,-4023,15512
761656700,698,-2145,14623
761658596,-402,-670,14479
761660496,-1083,525,16487
761662408,1193,2105,15124
761664292,617,653,17430
761666136,0,18,15630
761667972,-2122,502,19787
761669884,-287,1479,17179
761671796,3604,1618,15600
761673688,2697,-185,13272
761675604,1279,-3097,14840
761677524,-2186,-3282,17894
761679440,1218,-402,17524
761681332,-61,1019,12411
761683236,3633,2649,13779
761685140,-138,1166,18717
761687032,-2011,563,17879
761688920,-3335,15,20052
761690792,-163,65,18972
761692688,1192,222,18636
761694584,647,-1317,15183
761696500,-2076,-2998,19972
761698416,408,-3706,15040
761700320,1273,-3301,14031
761702232,-450,-1176,13395
761704140,846,1772,17496
761706040,1284,2644,15527
761707948,2184,2242,16104
761709828,57,889,12184
761711708,-520,-316,18352
761713612,-1850,-924,18660
