Timestamp,AccX,AccY,AccZ,AccMagnitude,Z_score,Anomaly
850605012,1602,738,16189,16284.801779573492,-0.05741586600928891,0
850606900,-489,-259,16034,16043.545680428626,-0.16145056383231363,0
850608800,683,-1808,14597,14724.393434026408,-0.7302967228453232,0
850610712,-2889,-1261,16692,16987.03346673574,0.24540118870819247,0
850612632,-601,-1541,15540,15627.779176837636,-0.3407378138514376,0
850614552,-2702,-2168,20983,21267.04767945001,2.0910332240276825,0
850616464,-375,-429,15004,15014.815416780853,-0.6050606632218939,0
850618360,-1318,122,19820,19864.14881136365,1.4860737625469203,0
850620260,2923,535,14682,14979.69552427552,-0.6202050986053724,0
850622168,1883,1093,17764,17896.928060424223,0.6377668509265175,0
850624076,1076,1450,14508,14619.929548393864,-0.7753437447184361,0
850625972,253,1846,14600,14718.414486621852,-0.7328749705610802,0
850627876,1304,1833,13496,13682.189919746035,-1.17971677092936,0
850629780,1468,838,13304,13410.953881063047,-1.2966794484455662,0
850631672,-802,-1290,12772,12862.009485302053,-1.533395803128669,0
850633592,-3513,-2877,15444,16097.684119152047,-0.13810493181237676,0
850635520,-1837,-2048,19232,19427.78157690682,1.2979030446355524,0
850637432,1201,303,12415,12476.63556412545,-1.69957713317831,0
850639316,-610,248,15420,15434.053388530183,-0.42427644321057,0
850641212,1837,101,16156,16260.415308349291,-0.06793182466804286,0
850643108,1023,775,19411,19453.38209669465,1.3089425265374808,0
